"All","Wszystko",module,Magento_AdminGws
"None","Brak",module,Magento_AdminGws
"Allowed Scopes","Dopuszczalne zakresy",module,Magento_AdminGws
"More permissions are needed to delete the ""%1"" item.","Więcej uprawnień jest potrzebnych do usunięcia elementu ""%1"".",module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.","Potrzebujesz więcej uprawnień do stosowania niektórych reguł aktualizacji.",module,Magento_AdminGws
"More permissions are needed to view this item.","Dodatkowe uprawnienia są potrzebne do wyświetlenia tego elementu.",module,Magento_AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Ten obiekt musi być przypisany do widoku sklepu. Sprawdź przypisanie i spróbuj ponownie.",module,Magento_AdminGws
"This item needs to be assigned to a store view.,module,Magento_AdminGws
Please select a website for this product in ""Product in Websites"".","Ten element musi być przypisany do widoku sklepu.,module,Magento_AdminGws
Wybierz stronę internetową dla tego produktu w ""Produkt w witrynach internetowych"".",module,Magento_AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","Zamówienia mogą być realizowane tylko w aktywnym sklepie. Zweryfikuj sklep i spróbuj ponownie.",module,Magento_AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","Ten element musi być przypisany do widoku sklepu. Przypisz element i spróbuj ponownie.",module,Magento_AdminGws
"More permissions are needed to save this item.","Więcej uprawnień jest potrzebnych do zapisania tego elementu.",module,Magento_AdminGws
"More permissions are needed to delete this item.","Dodatkowe uprawnienia są potrzebne do usunięcia tego elementu.",module,Magento_AdminGws
"At least one website or store group needs to be selected. Select and try again.","Co najmniej jedna witryna lub grupa sklepów musi być zaznaczona. Wybierz i spróbuj ponownie.",module,Magento_AdminGws
"More permissions are needed to set All Scopes to a Role.","Więcej uprawnień jest potrzebnych, aby ustawić wszystkie zakresy na rolę.",module,Magento_AdminGws
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Identyfikator witryny %1"" jest błędny. Zweryfikuj identyfikator witryny i spróbuj ponownie.",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Potrzebujesz więcej uprawnień do dostępu do witryny ""%1"".",module,Magento_AdminGws
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Identyfikator sklepu ""%1"" jest błędny. Zweryfikuj identyfikator sklepu i spróbuj ponownie.",module,Magento_AdminGws
"More permissions are needed to save this setting.","Potrzeba większych uprawnień, aby zapisać te ustawienia.",module,Magento_AdminGws
"Role Scopes","Zakresy ról",module,Magento_AdminGws
"Custom","Niestandardowe",module,Magento_AdminGws
"Read Details","Przeczytaj szczegóły",module,Magento_AdminNotification
"Mark as Read","Oznacz jako przeczytane",module,Magento_AdminNotification
"Are you sure?","Czy na pewno tego chcesz?",module,Magento_AdminNotification
"Remove","Usuń",module,Magento_AdminNotification
"Messages Inbox","Skrzynka odbiorcza",module,Magento_AdminNotification
"You have %1 new system messages","Masz nowe wiadomości systemowe: %1",module,Magento_AdminNotification
"You have %1 new system message","Masz %1 nową wiadomość systemową",module,Magento_AdminNotification
"Incoming Message","Nowa wiadomość",module,Magento_AdminNotification
"close","zamknij",module,Magento_AdminNotification
"Notifications","Powiadomienia",module,Magento_AdminNotification
"The message has been marked as Read.","Wiadomość została oznaczona jako przeczytana.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Nie udało się oznaczyć powiadomienia jako przeczytane z powodu błędu.",module,Magento_AdminNotification
"Please select messages.","Wybierz wiadomości.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","W sumie %1 rekord(y) zostały oznaczone jako przeczytane.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","W sumie %1 rekord(y) zostały usunięte.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Nie udało się usunąć wiadomości z powodu błędu.",module,Magento_AdminNotification
"The message has been removed.","Wiadomość została usunięta.",module,Magento_AdminNotification
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Zobaczyłeś oraz rozwiązałeś wszystkie ostatnie powiadomienia systemowe. Odśwież stronę aby usunąć alert.",module,Magento_AdminNotification
"1 Hour","1 godz.",module,Magento_AdminNotification
"2 Hours","2 godz.",module,Magento_AdminNotification
"6 Hours","6 godz.",module,Magento_AdminNotification
"12 Hours","12 godz.",module,Magento_AdminNotification
"24 Hours","24 godz.",module,Magento_AdminNotification
"critical","krytyczny",module,Magento_AdminNotification
"major","ważne",module,Magento_AdminNotification
"minor","drobne",module,Magento_AdminNotification
"notice","informacja",module,Magento_AdminNotification
"Wrong message type","Nieprawidłowy typ wiadomości",module,Magento_AdminNotification
"Wrong notification ID specified.","Niepoprawny ID powiadomienia.",module,Magento_AdminNotification
